,name,price1,price2
315,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
316,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
317,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
318,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
319,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
320,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
321,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
322,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
323,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
324,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
325,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
326,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
327,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
328,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
329,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
330,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
331,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
332,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
333,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
334,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
335,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
336,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
337,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
338,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
339,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
340,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
